OUTPUT,INPUT
"Hmmm. Much anger in him, like his father.","Hmmm. There is much anger in him like his father."
"Hah. He is not ready.","Hah. He is not ready."
"Ready, are you? What know you of ready? For eight hundred years  have I trained Jedi. My own counsel will I keep on who is to be trained! A Jedi must have the deepest commitment, the most serious mind.  This one a long time have I watched. Never his mind on where he was. Hmm? What he was doing. Hmph. Adventure. Heh! Excitement. Heh! A Jedi craves not these things.  You are reckless!","You are ready? What do you know of being ready? I have trained Jedi for eight hundred years. My own counsel will decide who is to be trained! A jedi must have the deepest commitment and the most serious mind. I have watched this one for a long time. His mind does not seem to be where he was. Hmm? A Jedi must not crave Adventure and Excitement. You are reckless"
"He is too old. Yes, too old to begin the training.", "He is too old to begin training"
"Will he finished what he begins?","Will he finish what he begins"
"Oh, you will be. You will be.","Yes, you will be!"
"Run! Yes. A Jedi's strength flows from the Force. But beware of  the dark side. Anger...fear...aggression. The dark side of the Force are they. Easily they flow, quick to join you in a fight. If once you start down the dark path, forever will it dominate your destiny, consume you it will, as it did Obi-Wan's apprentice.","Run!, A jedi's strength flows from the force. But beware of the dark side as anger, fear and  aggression are the dark side of the force. They can easily flow and will quickly join you in a fight. Once you start down the dark path, it will dominate your destiny and consume you as it once did Obi-Wan's apprentice"
"No...no...no. Quicker, easier, more seductive.","No...no...no. Quicker, easier, more seductive."
"You will know. When you are calm, at peace. Passive. A Jedi uses  the Force for knowledge and defense, never for attack.","You will know when you are calm and at peace. Passive. A jedi used the Force for gaining knowledge and defense but never for attacking."
"No, no, there is no why. Nothing more will I  teach you today. Clear your mind of questions. Mmm. Mmmmmm.","No, there is no why, I will teach you no more today. You have to clear your mind from questions."
"That place...is strong with the dark side of the Force. A domain  of evil it is. In you must go.","That place is strong with the dark force and it is a domain of evil. You must go in"
"Only what you take with you.","Only what you take with you."
"Your weapons...you will not need them.","You will not need your weapons."
"Use the Force. Yes...", "Yes... Use the force."
"Now...the stone. Feel it.", "Now.. feel the stone."
"Concentrate!","Concentrate!"
"So certain are you. Always with you it cannot be done. Hear you  nothing that I say?","You are so certain. It cannot be done always with you. Can you hear anything that i say?"
"No! No different! Only different in your mind. You must unlearn  what you have learned.","No!, There is nothing different! It is different only in your mind. You must unlearn what you have learned."
"No! Try not. Do. Or do not. There is no try.","Do not try, just do. There is nothing to try."
"Size matters not. Look at me. Judge me by my size, do you? Hm?  Mmmm.","Size does not matter. Are you jusdging me by my size?"
"And well you should not. For my ally in the Force. And a  powerful ally it is. Life creates it, makes it grow. It's energy surrounds us and binds us. Luminous beings are we......not this crude matter.  You must feel the Force around you.  Here, between you...me...the tree...the rock...everywhere! Yes, even between this land and that ship!","And, in fact, you shouldn't. For the sake of my ally in the Force, which is a truly powerful and formidable force. Life gives it energy, nurtures it, and it grows stronger. The energy that surrounds us all holds us together. We are indeed luminous beings, not mere mortal flesh and blood. You should be able to feel this energy connecting everything around you, from this tree to the rock beneath your feet...even between these two locations."
"That is why you fail.","That is why you fail."
"Concentrate...feel the Force flow. Yes. Good. Calm, yes. Through  the Force, things you will see. Other places. The future...the past. Old friends long gone.","Focus your attention...tap into the energy that surrounds us all. Yes, I can sense it. Good. Relax, take a deep breath. Through this connection to the Force, you'll begin to see things. Other locations, distant places. You may catch glimpses of events yet to come, or even fleeting memories from the past. Even long-lost loved ones who have moved on."
"Hmm. Control, control. You must learn control.","Hmm. You must learn how to control."
"Mmm. Friends you have there.","Mmm. You have your friends there."
"It is the future you see.","You see the future"
"Difficult to see. Always in motion is the future.","The future is Difficult to see as it is always in motion."
"Decide you must how to serve them best. If you leave now, help  them you could. But you would destroy all for which they have fought and suffered.","You've decided that your presence is necessary to help them. However, if you stay with them, you'll be putting their entire cause at risk. Leaving now would allow you to provide the assistance they need without compromising everything they've worked for."
"Luke! You must complete the training.","Luke! You must complete the training."
"You must not go!","You must not go!"
"Yes, yes. To Obi-Wan you listen. The cave. Remember your failure  at the cave!","Yes, you must listen to Obi-Wan. Remember your failure at the cave!"
"Stopped they must be. On this depends. Only a fully trained Jedi  Knight with the Force as his ally will conquer Vader and his Emperor. If you end your training now, if you choose the quick and easy path, as Vader did, you will become an agent of evil.","The decision is clear: they must stop now. The fate of everything hangs in the balance. Only a fully trained Jedi Knight, with the Force as their guide and ally, has any hope of defeating Vader and the Emperor. If you abandon your training and take the easy way out, as Vader did, you'll be choosing a path that will lead you down a road of darkness and evil."
"If you honor what they fight for...yes!","If you honor what they fight for...yes!"
"Strong is Vader. Mind what you have learned. Save you it can.","Vader is strong but Remember what you have learned as it can save you."
"Told you, I did. Reckless is he. Now matters are worse.","I told you he is reckless. The matters have become worse now."
"No. There is another.","No. There is another."
Hmm. That face you make. Look I so old to young eyes?,Hmm. You have that face. Do I look olld to your eyes
"I do, yes, I do!  Sick have I become. Old and weak.  When nine hundred years old you reach, look as good you will not. Hmm?","Yes, I am sick. When you are 900 years old you do not look that good, eh?"
"Soon will I rest. Yes, forever sleep. Earned it, I have.",Soon I will slee and rest forever. I have earned it
Strong am I with the Force... but not that strong! Twilight is upon me and soon night must fall. That is the way of things ... the way of the Force.,I am strong with the force� But I am not that strong! Twilight is upon me and soon night must fall. That is the way of things ... the way of the Force.
No more training do you require. Already know you that which you need.,You don�t need anymore training� You already no which to need
"Ohhh. Not yet. One thing remains: Vader. You must confront Vader. Then, only then, a Jedi will you be. And confront him you will.","Ohhh. Not yet. One thing remains: Vader. You must confront Vader. Thenand only then, you will be a Jedi. And you will confron him"
Mmm... rest I need. Yes... rest.,Mmm� I need rest. Yes� rest
Your father he is.,He is your Father.
"Told you, did he?",He told you?
"Unexpected this is, and unfortunate..",This is unexpected and unfortunate
No. Unfortunate that you rushed to face him... that incomplete was your training. Not ready for the burden were you.,No� It was unfortunate that you rushed to face him. Your training was incomplete. You were not ready for the burden.
"Remember, a Jedi's strength flows from the Force.  But beware.  Anger, fear, aggression. The dark side are they.  Once you start down the dark path, forever will it dominate your destiny.","Remember, a Jedi's strength flows from the Force.  But beware. The dark side are anger, fear, aggression.  Once you start down the dark path it will foreverdominate your destiny."
"Luke...Luke...Do not...Do not underestimate the powers of the Emperor, or suffer your father's fate, you will. Luke, when gone am I , the last of the Jedi will you be. Luke, the Force runs strong in your family. Pass on what you have learned, Luke...  There is... another...Sky...Sky...walker.","Luke...Luke...Do not...Do not underestimate the powers of the Emperor, or you will suffer your father's fate. Luke, when I am gone, you will be the last of the Jedi . Luke, the Force runs strong in your family. Pass on what you have learned, Luke...  There is... another...Sky...Sky...walker."